id,cases
1,655
2,941
3,1433
4,2118
5,2927
6,5578
7,6167
8,8235
9,9927
10,12038
11,16787
12,19887
13,23898
14,27643
15,30803
16,34396
17,37130
18,40160
19,42769
20,44811
21,45229
22,60382
23,66909
24,69052
25,71235
26,73270
27,75152
28,75652
29,76212
30,76841
31,78602
32,78982
33,79546
34,80399
35,81376
36,82736
37,84122
38,86013
39,88394
40,90377
41,92971
42,95279
43,98090
44,102003
45,106098
46,110047
47,114219
48,119041
49,126702
50,132492
51,146876
52,157950
53,169219
54,184027
55,199970
56,219535
57,246584
58,277359
59,309350
60,344205
61,387040
62,428219
63,479220
64,542097
65,607138
66,674418
67,733655
68,798949
69,875794
70,958629
71,1041679
72,1125250
73,1183609
74,1256219
75,1329371
76,1399212
77,1482610
78,1569630
79,1655153
80,1729417
81,1849112
82,1919853
83,2003857
84,2080973
85,2176491
86,2264524
87,2341739
88,2418310
89,2494320
90,2570078
91,2651377
92,2735668
93,2819764
94,2902007
95,2973582
96,3043786
97,3119324
98,3196455
99,3279935
100,3368292
101,3447490
102,3523887
103,3601559
104,3682058
105,3772095
106,3860819
107,3951089
108,4036352
109,4111266
110,4187924
111,4272394
112,4357399
113,4453629
114,4549347
115,4643762
116,4721809
117,4810975
118,4907722
119,5009628
120,5116275
121,5222689
122,5327481
123,5421702
124,5508408
125,5602388
126,5705152
127,5824433
128,5945341
129,6081855
130,6188259
131,6284232
132,6406196
133,6520447
134,6651410
135,6782636
136,6916355
137,7028730
138,7131206
139,7256265
140,7391371
141,7529424
142,7658151
143,7793444
144,7925721
145,8045387
146,8187468
147,8331222
148,8472296
149,8652193
150,8809651
151,8937355
152,9076708
153,9243514
154,9416110
155,9594500
156,9786102
157,9964218
158,10128093
159,10283456
160,10457988
161,10675596
162,10885548
163,11086923
164,11280744
165,11464726
166,11628722
167,11840091
168,12054250
169,12281090
170,12513766
171,12730232
172,12922492
173,13113970
174,13336173
175,13567611
176,13818969
177,14061686
178,14297865
179,14511279
180,14718412
181,14952034
182,15231917
183,15514776
184,15795846
185,16049938
186,16263015
187,16489477
188,16742217
189,17033965
190,17314074
191,17604811
192,17853166
193,18084181
194,18290628
195,18548543
196,18825127
197,19110321
198,19392566
199,19651099
200,19875797
201,20101808
202,20359380
203,20636018
204,20925236
205,21228980
206,21476718
207,21691208
208,21898916
209,22157171
210,22436722
211,22709277
212,22970496
213,23234766
214,23440930
215,23666158
216,23910153
217,24193952
218,24477860
219,24761471
220,25025287
221,25246275
222,25509140
223,25774047
224,26057555
225,26339015
226,26653020
227,26923081
228,27153595
229,27371523
230,27613555
231,27898369
232,28198228
233,28519589
234,28806206
235,29048946
236,29312693
237,29598140
238,29902687
239,30217566
240,30543485
241,30835647
242,31087793
243,31363785
244,31648303
245,31924402
246,32277431
247,32608314
248,32896777
249,33148188
250,33403027
251,33685585
252,34011804
253,34330104
254,34627958
255,34960044
256,35221464
257,35522414
258,35848966
259,36199957
260,36561290
261,36922190
262,37279326
263,37566278
264,37857976
265,38177218
266,38559565
267,38966541
268,39378313
269,39750993
270,40067583
271,40454758
272,40843745
273,41288653
274,41761382
275,42258164
276,42714986
277,43075703
278,43562021
279,44032249
280,44544143
281,45094525
282,45665604
283,46142428
284,46604864
285,47167894
286,47721721
287,48233206
288,48829777
289,49474659
290,50071611
291,50555683
292,51057076
293,51616461
294,52265191
295,52914645
296,53566727
297,54161862
298,54635935
299,55170071
300,55781327
301,56408504
302,57062051
303,57730831
304,58318557
305,58806701
306,59331660
307,59921951
308,60558291
309,61140970
310,61827863
311,62414022
312,62902699
313,63411091
314,64023308
315,64675043
316,65369179
317,66052314
318,66694746
319,67233741
320,67753311
321,68396799
322,69066819
323,70564945
324,71269554
325,71904616
326,72435722
327,72960602
328,73596794
329,74330464
330,75070221
331,75790546
332,76401995
333,76935664
334,77484615
335,78134972
336,78830100
337,79496691
338,79962475
339,80475205
340,80913868
341,81409709
342,82074293
343,82835540
344,83560482
345,84093788
346,84720299
347,85253202
348,85807043
349,86547096
350,87330661
351,88211545
352,89014809
353,89776075
354,90365376
355,90984976
356,91690531
357,92438858
358,93194145
359,93961381
360,94600703
361,95130064
362,95645312
363,96253248
364,96946210
365,97602571
366,98261639
367,98829909
368,99275699
369,99772747
370,100329071
371,100927448
372,101541893
373,102132381
374,102647858
375,103029652
376,103476199
377,103934126
378,104456157
379,104923095
380,105458548
381,105830862
382,106229038
383,106545054
384,106972720
385,107408534
386,107850003
387,108278724
388,108652122
389,108946086
390,109229345
391,109580144
392,109975720
393,110379223
394,110791727
395,111162265
396,111476792
397,111765161
398,112154029
399,112598969
400,113046460
401,113489486
402,113878785
403,114182356
404,114488090
405,114798408
406,115239558
407,115692613
408,116139645
409,116550222
410,116918602
411,117217208
412,117631885
413,118098952
414,118575835
415,119065151
416,119519364
417,119879810
418,120228591
419,120701640
420,121241068
421,121794627
422,122356343
423,122855285
424,123278672
425,123695333
426,124209643
427,124843218
428,125494652
429,126136052
430,126720792
431,127190873
432,127649131
433,128217581
434,128900516
435,129612373
436,130246167
437,130775801
438,131328758
439,131818062
440,132422295
441,133106608
442,133946462
443,134694522
444,135359190
445,136050057
446,136666545
447,137446191
448,138263254
449,139080030
450,139934945
451,140723160
452,141408751
453,142102363
454,142956456
455,143846433
456,144746200
457,145649953
458,146471022
459,147193478
460,147876137
461,148720592
462,149626600
463,150524258
464,151403270
465,152200029
466,152874414
467,153555936
468,154363355
469,155204557
470,156074567
471,156906973
472,157692702
473,158334279
474,158956114
475,159694580
476,160454640
477,161179904
478,161897925
479,162525945
480,163074549
481,163614578
482,164237099
483,164908717
484,165188667
485,165814687
486,166392887
487,166869422
488,167323965
489,167856146
490,168424727
491,168979456
492,169479741
493,169961055
494,170352480
495,170731385
496,171195110
497,171680812
498,172169929
499,172589646
500,172988007
501,173310648
502,173631266
503,173997437
504,174416271
